,,,,,,,,,,,,,,,,,,,
,Table H4,,,,,,,,,,,,,,,,,,
,"Total final energy consumption in Australia, by state and territory, by fuel, energy units a",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,
,,PJ,,,,,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ,
,New South Wales,,,,,,,,,,,,,,,,,,
,Renewables,10.0,9.8,9.6,9.0,9.0,8.9,8.5,8.0,6.9,7.2,7.4,7.2,6.9,6.8,6.9,7.1,6.2,7.957647059
,Total,92.6,95.6,98.7,100.6,102.3,103.9,107.2,106.0,103.9,98.3,103.0,101.5,101.6,99.2,99.9,102.4,102.2,101.1131765
,,,,,,,,,,,,,,,,,,,
,Northern Territory,,,,,,,,,,,,,,,,,,
,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
,Gas,0.4,1.0,1.0,6.7,20.0,18.7,21.1,16.5,19.4,16.9,20.1,21.2,18.7,21.5,19.8,18.1,44.9,16.81929412
,Oil,42.5,42.5,45.4,51.2,46.2,50.3,42.6,42.8,47.1,47.1,46.4,42.2,29.3,27.7,28.3,32.6,37.6,41.27358824
,Electricity,7.8,7.9,7.9,8.5,10.3,10.3,9.6,10.6,10.4,10.8,10.9,12.2,9.9,10.2,10.0,12.0,15.3,10.27764706
,Renewables,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.322235294
,Total,50.9,51.6,54.5,66.5,76.7,79.6,73.5,70.2,77.3,75.1,77.8,76.0,58.3,59.8,58.5,63.2,98.2,68.69270588
,,,,,,,,,,,,,,,,,,,
,Australia ,,,,,,,,,,,,,,,,,,
,Coal,156.5,157.1,167.8,163.5,163.5,170.7,134.2,123.5,114.6,106.4,111.2,111.3,105.8,111.9,114.3,113.6,110.5,131.5571765
,Gas,645.7,659.2,675.5,689.7,727.9,732.0,729.2,737.0,751.1,758.6,791.3,820.3,815.0,852.6,906.6,944.0,979.9,777.3782353
,Oil,1649.9,1732.6,1781.0,1809.5,1837.5,1885.1,1895.1,1937.8,2016.7,2094.9,2123.5,2145.7,2114.6,2138.0,2190.0,2247.3,2276.6,1992.700647
,Electricity,688.7,704.7,705.4,719.5,754.4,757.1,767.5,786.7,795.1,785.4,790.8,793.1,803.9,819.2,821.7,834.6,846.1,774.9355882
,Renewables,140.2,138.1,137.6,136.0,140.9,141.8,149.0,183.1,181.2,182.2,193.8,186.3,194.4,188.3,198.0,185.6,177.2,167.8651765
,Total final energy consumption,3281.0,3391.7,3467.3,3518.2,3624.1,3686.8,3674.9,3768.1,3858.6,3927.5,4010.6,4056.7,4033.7,4110.0,4230.7,4325.1,4390.3,3844.436647
,,,,,,,,,,,,,,,,,,,
,Totals may not add due to rounding.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
